Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""VILKS Transport"", SIA","Katlakalna iela 9A, Rīga",1277 ,01.02.2024
REFERENTS,Ekonomikas ministrija,"Brīvības iela 55, Rīga",1500 - 1650 ,30.11.2023
SANTEHNIĶIS,"SIA ""CDzP""","Tirgoņu iela 1, Cēsis, Cēsu nov.",1000 - 1500 ,31.12.2023
PAŠVALDĪBAS POLICIJAS INSPEKTORS,Mārupes novada pašvaldība,"Konrādu iela 5, Mārupe, Mārupes nov.",6.6 - 7.5 ,03.12.2023
ASISTENTS (IZGLĪTĪBAS JOMĀ),"Lielvārdes pirmsskolas izglītības iestāde ""Pūt vējiņi""","Upes iela 3A, Lielvārde, Ogres nov.",700 ,15.02.2024
GALVENAIS NODOKĻU INSPEKTORS,Valsts ieņēmumu dienests,"Beātes iela 49, Valmiera, Valmieras nov.",1065 - 1388 ,05.12.2023
KLIENTU APKALPOŠANAS VADĪTĀJS,"SIA ""Rīgas veselības centrs""","Spulgas iela 24, Rīga",2000 ,29.11.2023
ELEKTRONIKAS TEHNOLOGS,SIA BUKK,"Krišjāņa Barona iela 40 - 2, Rīga, LV-1011",1373 - 1500 ,01.02.2024
GALVENAIS NODOKĻU INSPEKTORS,Valsts ieņēmumu dienests,"Talejas iela 1, Rīga",1399 - 1999 ,29.11.2023
PAŠVALDĪBAS POLICIJAS INSPEKTORS,Mārupes novada pašvaldība,"Daugavas iela 29, Mārupe, Mārupes nov.",7.07 - 7.86 ,03.12.2023
EKSPEDĪCIJAS AĢENTS,"Sabiedrība ar ierobežotu atbildību ""Logistics Integration Systems""",Liepāja,1500 - 2500 ,30.11.2023
PĀRDOŠANAS VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Logistics Integration Systems""",Liepāja,2000 - 3000 ,30.11.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Daugavas iela 31, Mārupe, Mārupes nov.",4.5 - 4.7 ,30.11.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Tehniskās universitātes Liepājas Jūrniecības koledža,"Uliha iela 5, Liepāja",675.15 ,24.11.2023
MAIŅAS VECĀKAIS,"SIA ""RIMI LATVIA""","Biķeru iela 4, Ulbroka, Stopiņu pag., Ropažu nov.",1000 - 1100 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Daugavas iela 31, Mārupe, Mārupes nov.",5 - 5.4 ,07.12.2023
KOMPLEKTĒTĀJS,"SIA ""RIMI LATVIA""","Biķeru iela 4, Ulbroka, Stopiņu pag., Ropažu nov.",800 - 1200 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Mazā Rencēnu iela 1, Rīga",5 - 5.4 ,07.12.2023
MAIŅAS VECĀKAIS,"SIA ""RIMI LATVIA""","Nīcgales iela 53, Rīga",1020 - 1140 ,07.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Jaunā ostmala 3/5, Liepāja",4.1 - 4.35 ,30.11.2023
MAIZNIEKS,"SIA ""RIMI LATVIA""","Skolas iela 4E, Salaspils, Salaspils nov.",5.15 - 5.55 ,07.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Krišjāņa Barona iela 46, Rīga",4.5 - 4.7 ,30.11.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Satekles iela 2B, Rīga",4.5 - 4.7 ,30.11.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Pulkveža Brieža iela 33A, Rīga",4.5 - 4.7 ,30.11.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Maskavas iela 400, Rīga",4.5 - 4.7 ,30.11.2023
