Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
AUTOMEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""Aura Corp""","Peldu iela 19, Rīga",1373 ,17.03.2024
INŽENIERKOMUNIKĀCIJU BŪVDARBU VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""SPX""",Rīga un Aizkraukle,No 1800 ,17.01.2024
VĀJSTRĀVU SISTĒMU MONTIERIS,"Sabiedrība ar ierobežotu atbildību ""SPX""",Rīga un Aizkraukle,1400 ,17.01.2024
ŠŪŠANAS TEHNOLOGS,"Sabiedrība ar ierobežotu atbildību ""Deora Pluss""","Tautas iela 102, Daugavpils",1000 ,07.12.2023
KONTROLIERIS,"Sabiedrība ar ierobežotu atbildību ""Deora Pluss""","Tautas iela 102, Daugavpils",1000 ,07.12.2023
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""CĒSU KLĪNIKA""","Slimnīcas iela 9, Cēsis, Cēsu nov.",620 ,30.11.2023
ŠUVĒJS,"Sabiedrība ar ierobežotu atbildību ""Deora Pluss""","Tautas iela 102, Daugavpils",900 ,07.12.2023
LAUKSAIMNIECĪBAS TEHNIKAS MEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""WORKINGDAY LATVIA""","Jupatovkas iela 3A, Rēzekne",1600 - 2500 ,01.12.2023
SPECIALIZĒTĀ /AUTOMOBIĻA VADĪTĀJS,"Akciju sabiedrība ""DAUGAVPILS SPECIALIZĒTAIS AUTOTRANSPORTA UZŅĒMUMS""","Slāvu iela 6, Daugavpils",900 - 1200 ,30.11.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Cēsu novada Sociālais dienests,"Bērzaines iela 16/18, Cēsis, Cēsu nov.",No 1095 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""AUGSTCELTNE""","DUS Saulkrasti 2 ""Kurši"", Saulkrastu pag. , Saulkrastu nov.",6 - 13 ,30.11.2023
SKOLOTĀJA PALĪGS,Rīgas Juglas vidusskola,"Malienas iela 89, Rīga",633 ,16.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Juglas vidusskola,"Malienas iela 89, Rīga",1409 ,16.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Juglas vidusskola,"Malienas iela 89, Rīga",1240 ,16.01.2024
APRŪPĒTĀJS,Labāka Rītdiena,"Rūjienas iela 3, Valka, Valkas nov.",820 - 960 ,30.11.2023
SEZONAS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""CEUBA""","Muižas iela 18, Ādaži, Ādažu nov.",1373 - 1500 ,17.01.2024
MONTĒTĀJS (ROKU DARBA),"Sabiedrība ar ierobežotu atbildību ""B.E.S LV""","Daugavgrīvas iela 112, Rīga",1373 ,31.01.2024
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""B.E.S LV""","Daugavgrīvas iela 112, Rīga",1373 ,31.01.2024
MEHĀNIĶIS,"SIA ""SKONTO PREFAB""","Granīta iela 31 k-1, Acone, Salaspils pagasts, Salaspils novads",1500 - 1800 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""MG BŪVNIEKS""","Blaumaņa iela 19, Rīga",1200 - 1500 ,04.12.2023
PEDAGOGA PALĪGS,Saulkrastu novada pašvaldība,"Raiņa iela 6, Saulkrasti, Saulkrastu nov.",1100 ,31.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""Herbals Invest"", Sabiedrība ar ierobežotu atbildību","Nākotnes iela 2, Ķekava, Ķekavas pag., Ķekavas nov.",1375 ,31.12.2023
ŠEFPAVĀRS,"SIA ""NV Anand Food""","Brīvības gatve 432, Rīga",1400 ,17.01.2024
PROJEKTU ASISTENTS,"SIA ""Geidans Solutions Latvia""","18. novembra iela 16, Rēzekne",1800 - 2500 ,31.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Ramda C""","Alejas iela 3, Sala, Salas pag., Jēkabpils nov.",1373 ,31.12.2023
KRĀSOTĀJS,"SIA ""PWF""","Pavasars, Raunas pag., Smiltenes nov.",900 - 1100 ,30.11.2023
NOLIKTAVAS DARBINIEKS,"SAS ""Manpower Lit"" filiāle ""Manpower Lit""","Dreiliņi, Stopiņu pag., Ropažu nov.",900 - 1100 ,15.12.2023
ARHITEKTS,Bauskas novada pašvaldība,"Uzvaras iela 1, Bauska, Bauskas nov.",1484 ,30.11.2023
DARBA EKONOMISTS,"SIA ""DYNATECH""","Jeruzalemes iela 1, Rīga",2500 - 3000 ,31.12.2023
KLIENTU /PĀRDOŠANAS KONSULTANTS,"Sabiedrība ar ierobežotu atbildību ""Bermea""","Bukultu iela 3B, Rīga",1355 - 2850 ,30.11.2023
MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,"Jūrmalas pirmsskolas izglītības iestāde ""Zvaniņš""","Lībiešu iela 19, Jūrmala",1081 ,30.11.2023
BETONĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""EnglishOK""","Spāres iela 18, Rīga",1373 ,16.01.2024
Datu ANALĪTIĶIS,"Akciju sabiedrība ""Cēsu alus""","Aldaru laukums 1, Cēsis, Cēsu nov.",1500 - 1800 ,15.12.2023
ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,"Jūrmalas valstspilsētas pašvaldības iestāde ""Pašvaldības īpašumu pārvaldīšanas centrs""","Jomas iela 17, Jūrmala",967 - 1249 ,31.12.2023
SĒTNIEKS,"Jūrmalas valstspilsētas pašvaldības iestāde ""Pašvaldības īpašumu pārvaldīšanas centrs""","Raiņa iela 55, Jūrmala",635 ,31.12.2023
PAVĀRS,SIA LAGE GROUP,"Rīga, Krasta iela 46, LV-1003; Rīga, Brīvības gatve 372, LV-1006; Rīga, Duntes iela 19A, LV-1005; Rīga, Dzirnavu iela 67, LV-1011; Rīga, Kalēju iela 30, LV-1050; Rīga, Lielirbes iela 29, LV-1046; Maskavas iela 257, LV-1063",1380 ,31.12.2023
PĀRDEVĒJS KONSULTANTS,"SIA ""TELEMARKET""","Celtnieku iela 18/20, Liepāja",620 - 1300 ,15.12.2023
GAĻAS PRODUKTU IZGATAVOTĀJS,"Sabiedrība ar ierobežotu atbildību ""FOREVERS""","Granīta iela 9A, Rīga",1300 - 1500 ,31.12.2023
"GINEKOLOGS, DZEMDĪBU SPECIĀLISTS",Bauskas novada pašvaldība,"Dārza iela 7 k-1, Bauska, Bauskas nov.",20 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,Sabiedrība ar ierobežotu atbildību BJ Treileri,"Tērvetes iela 65, Jelgava",No 1400 ,19.12.2023
MĀSA/ vispārējās aprūpes MĀSA,Sociālās integrācijas valsts aģentūra,"Dubultu prospekts 71, Jūrmala",1200 - 1300 ,30.11.2023
APKOPĒJS,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""","Nīcgales iela 26, Rīga",705 ,15.01.2024
BŪVNIEKS,"Sabiedrība ar ierobežotu atbildību ""EIROPAS JUMTI""","Jūrmalas gatve 144H, Rīga",1373 ,14.01.2024
TIRDZNIECĪBAS PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""GS Studio""","Izstādes iela 5 - 1, Cēsis, Cēsu nov.",650 - 1300 ,26.11.2023
PATENTU UN IZGUDROJUMU INŽENIERIS,"Akciju sabiedrība ""Olainfarm""","Rūpnīcu iela 5, Olaine, Olaines nov.",3635 ,13.12.2023
GATAVĀS PRODUKCIJAS PIEGRIEŠANAS OPERATORS,SIA TalentHub Staffing,"Ķekava, Ķekavas nov.",No 1600 ,15.01.2024
BIROJA ADMINISTRATORS,IK Rigas Komunal Service,"Brīvības gatve 363 - 20, Rīga",800 - 1200 ,30.11.2023
KLIENTU APKALPOŠANAS OPERATORS,IK Rigas Komunal Service,"Brīvības gatve 363 - 20, Rīga",800 - 1200 ,30.11.2023
KONSULTANTS,IK Rigas Komunal Service,"Braslas iela 20, Rīga",800 - 1200 ,30.11.2023
"TRAUMATOLOGS, ORTOPĒDS",Bauskas novada pašvaldība,"Dārza iela 7 k-2, Bauska, Bauskas nov.",15 ,30.11.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Built In""","Daugavas iela 38 - 3, Mārupe, Mārupes nov.",1373 ,16.01.2024
AUDITORS,Talsu novada pašvaldība,"Kareivju iela 7, Talsi, Talsu nov.",1157 ,30.11.2023
KLIENTU APKALPOŠANAS OPERATORS,"Sabiedrība ar ierobežotu atbildību ""CEUBA""","Motoru iela 3 - 52, Rīga",1374 ,31.12.2023
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""ASHCO INVESTMENTS"" SIA",Rīga,1380 - 2000 ,31.01.2024
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""Qadir General Trading"" SIA",Rīga,1380 - 2000 ,31.01.2024
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""AKP Enterprises"" SIA",Rīga,1380 - 2000 ,31.01.2024
AUTOBUSA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VTU VALMIERA""","Gaujienas pag., Smiltenes nov.",Līdz 1200 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Saldus, Saldus nov.",1237 - 1362 ,30.11.2023
ELEKTRIĶIS,"SIA ""Rīgas ūdens""","Ilzenes iela 1E, Rīga",7.49 - 8.24 ,30.11.2023
ELEKTRIĶIS,"Balvu novada pašvaldības aģentūra ""San-tex""","Bērzpils iela 56, Balvi, Balvu nov.",No 750 ,01.12.2023
SANTEHNIĶIS,"Balvu novada pašvaldības aģentūra ""San-tex""","Bērzpils iela 56, Balvi, Balvu nov.",No 700 ,01.12.2023
SKOLOTĀJA PALĪGS,Rīgas 94.pirmsskolas izglītības iestāde,"Krišjāņa Barona iela 97B, Rīga",737 ,12.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Rīgas 94.pirmsskolas izglītības iestāde,"Krišjāņa Barona iela 97B, Rīga",868 ,12.01.2024
GAĻAS APSTRĀDES IEKĀRTU OPERATORS,"Akciju sabiedrība ""Putnu fabrika Ķekava""","Putnu fabrika Ķekava, Ķekava, Ķekavas pag., Ķekavas nov.",5.6 - 5.8 ,31.12.2023
OFTALMOLOGS,Bauskas novada pašvaldība,"Dārza iela 7 k-1, Bauska, Bauskas nov.",25 ,30.11.2023
ENDOKRINOLOGS,Bauskas novada pašvaldība,"Dārza iela 7 k-1, Bauska, Bauskas nov.",25 ,30.11.2023
INKUBATORA OPERATORS,"Akciju sabiedrība ""Putnu fabrika Ķekava""","Putnu fabrika Ķekava, Ķekava, Ķekavas pag., Ķekavas nov.",5.53 ,30.11.2023
PĀRDEVĒJA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""RASAS MADLIENĀ""","Sadzīves pakalpojumi, Madliena, Madlienas pag., Ogres nov.",700 - 800 ,12.12.2023
PALĪGSTRĀDNIEKS,SIA Staffrent Metal,"Parka iela 1, Lubāna, Madonas nov.",1373 - 1400 ,20.12.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Bāriņu iela 3, Liepāja",1140 - 1262 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,Liepāja,1237 - 1362 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Talsi, Talsu nov.",1237 - 1362 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Saldus, Saldus nov.",1237 - 1362 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Jelgavas iela 65, Kuldīga, Kuldīgas nov.",1237 - 1362 ,30.11.2023
INTERNISTS,Bauskas novada pašvaldība,"Dārza iela 7 k-2, Bauska, Bauskas nov.",2500 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Jelgavas iela 65, Kuldīga, Kuldīgas nov.",1237 - 1362 ,30.11.2023
NEIROLOGS,Bauskas novada pašvaldība,"Dārza iela 7 k-1, Bauska, Bauskas nov.",20 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Akmeņu iela 5, Talsi, Talsu nov.",1237 - 1362 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Akmeņu iela 5, Talsi, Talsu nov.",1237 - 1362 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""MZ Rest.""",Rīga,1200 ,01.12.2023
KOKA ĒKU CELTNIEKS,"SIA ""MZ Rest.""",Rīga,1200 - 1400 ,01.12.2023
ELEKTROMONTIERIS,"Sabiedrība ar ierobežotu atbildību ""EL.SERVISS""",Rīga,1500 - 2000 ,31.12.2023
NAMDARIS,"SIA ""MZ Rest.""",Rīga,1250 - 1400 ,01.12.2023
PALĪGSTRĀDNIEKS,"AS ""VIADA Baltija""","Brīvības gatve 462, Rīga",313 ,30.11.2023
PAŠVALDĪBAS POLICIJAS INSPEKTORS,"Jelgavas valstspilsētas pašvaldības iestāde ""Jelgavas pašvaldības policija""","Mazais ceļš 3, Jelgava",931 ,30.11.2023
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Ostas iela 33, Ventspils",1237 - 1362 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Lielā iela 8, Grobiņa, Dienvidkurzemes nov.",6.16 - 12.32 ,30.11.2023
ĒKU BŪVINŽENIERIS,"Sabiedrība ar ierobežotu atbildību ""TSC Engineering""","Ērgļu iela 11, Cēsis, Cēsu nov.",1300 - 1800 ,12.02.2024
VIRTUVES DARBINIEKS,Sabiedrība ar ierobežotu atbildību MIIM,"Ģertrūdes iela 66, Rīga",1373 - 1500 ,28.12.2023
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Jūrmalas Mežmalas pamatskola,"Rūpniecības iela 13, Jūrmala",744 ,31.12.2023
VIRSMĀSA,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",1680 ,01.12.2023
PROJEKTA KOORDINATORS,"Sabiedrība ar ierobežotu atbildību ""Baltic Consultancy""","Penkules iela 14, Rīga",1500 ,12.01.2024
PAVĀRS,Sabiedrība ar ierobežotu atbildību MIIM,"Ģertrūdes iela 66, Rīga",1373 - 1500 ,29.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,SIA JM Job Agency,"Ieriķu iela 60 - 157, Rīga",1300 - 1500 ,31.12.2023
MEŽA MAŠĪNU OPERATORS,"SIA ""AUSTRUMU MEŽSAIMNIEKS""",Rēzekne,2100 ,30.11.2023
EKSKAVATORA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""SILTUMTEHSERVISS""","Maskavas iela 5A, Rēzekne,darbs objektos",1400 ,23.11.2023
Cauruļvadu MONTĒTĀJS,"SIA ""Apkure IM""","Bukmuižas iela 12A, Rēzekne",1200 ,08.12.2023
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""OLGALEK""","Juglas iela 14, Rīga",1373 ,13.01.2024
MIESNIEKS,"SIA ""Rukši""","Bērzu gatve 9, Kazdanga, Kazdangas pag., Dienvidkurzemes nov.",1000 - 1500 ,11.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""KUUP COFFEE""","N. Rancāna iela 41, Rēzekne",1050 ,31.12.2023
PALĪGSTRĀDNIEKS,"SIA ""Aveluk Grupa""","Tērbatas iela 28 - 15, Rīga",1373 ,31.12.2023
Interešu izglītības mūzikas SKOLOTĀJS,"Bērnu un jauniešu centrs ""Daugmale""","Aglonas iela 39, Rīga",1020 ,12.02.2024
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Piebalgas iela 89, Cēsis, Cēsu nov.",1237 - 1262 ,29.12.2023
MANIKĪRA UN PEDIKĪRA SPECIĀLISTS,SIA A&D Nails,"Krišjāņa Barona iela 14 - 7, Rīga",1380 ,31.01.2024
APKOPĒJS,"SIA ""Gaļas nams-Ādaži""","Parka iela 8, Lielvārde, Ogres nov.",850 - 1050 ,30.11.2023
INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,"Bērnu un jauniešu centrs ""Daugmale""","Rīga, Maskavas iela 279/7",1020 ,12.01.2024
INSPEKTORS (IEKŠLIETU JOMĀ),Valsts policija,"Piebalgas iela 89, Cēsis, Cēsu nov.",1337 - 1363 ,29.12.2023
KOMPLEKTĒTĀJS,"SIA ""Gaļas nams-Ādaži""","Parka iela 8, Lielvārde, Ogres nov.",1000 - 1300 ,30.11.2023
INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,"Bērnu un jauniešu centrs ""Daugmale""","Jēkabpils iela 19A, Rīga",1020 ,12.01.2024
INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,"Bērnu un jauniešu centrs ""Daugmale""","Jēkabpils iela 19A, Rīga",1020 ,12.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,"Bērnu un jauniešu centrs ""Daugmale""","Jēkabpils iela 19A, Rīga",1020 ,12.01.2024
RAŽOŠANAS DIREKTORS,"Sabiedrība ar ierobežotu atbildību ""I-Work Group""",Valmieras nov.,2500 - 3000 ,30.11.2023
RAŽOŠANAS DIREKTORS,"Sabiedrība ar ierobežotu atbildību ""I-Work Group""","Rūjiena, Valmieras nov.",2500 - 3000 ,30.11.2023
MĀSA/ vispārējās aprūpes MĀSA,"Bērnu un jauniešu centrs ""Daugmale""","Aglonas iela 39, Rīga, un Vizlas iela 1, Rīga",1116 ,12.12.2023
BRIGADIERIS (būvniecības jomā),"Sabiedrība ar ierobežotu atbildību ""IONICA SERVISS""","Dēļu iela 5, Rīga",2260 ,31.12.2023
MAIZNIEKS,"SIA ""RIMI LATVIA""","Talsu šoseja 29, Jūrmala",5.15 - 5.55 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Āzenes iela 5, Rīga",4.8 - 5.5 ,30.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Ģertrūdes iela 66, Rīga",4.8 - 5.5 ,30.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Grostonas iela 6B, Rīga",5.1 - 5.6 ,07.12.2023
MAIŅAS VECĀKAIS,"SIA ""RIMI LATVIA""","Grostonas iela 6B, Rīga",1010 - 1130 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Krišjāņa Valdemāra iela 62, Rīga",4.9 - 5.3 ,07.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Jaunmoku iela 21, Rīga",4.5 - 4.7 ,30.11.2023
KONDITORS,"SIA ""RIMI LATVIA""","Talsu šoseja 29, Jūrmala",5.15 - 5.55 ,07.12.2023
BETONĒTĀJS,"""POWERTECH"", SIA",Saldus nov.,1373 ,01.03.2024
PAŠGĀJĒJA IEKRĀVĒJA VADĪTĀJS,"""POWERTECH"", SIA",Saldus nov.,1373 ,01.03.2024
METĀLA KONSTRUKCIJU ATSLĒDZNIEKS,"""POWERTECH"", SIA",Saldus nov.,1373 ,01.03.2024
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"""POWERTECH"", SIA",Saldus nov.,1373 ,01.03.2024
KLIENTU APKALPOŠANAS VADĪTĀJS,"SIA ""Amplicam""","Balasta dambis 80A, Rīga, LV-1048",2400 ,12.01.2024
PALĪGSTRĀDNIEKS,"SIA ""ALIA&CO 8""","Klostera iela 4, Limbaži, Limbažu nov.",620 ,30.11.2023
SISTĒMANALĪTIĶIS,IDEAPORT RIGA AS,"Dārzciema iela 91, Rīga",2500 ,12.01.2024
ĀRSTS (EKSPERTS),Veselības inspekcija,"Klijānu iela 7, Rīga",1570 - 1900 ,31.12.2023
ŠEFPAVĀRS,SIA ADIYOGI,"Valentīna iela 15, Rīga",1400 ,31.12.2023
TRANSPORTLĪDZEKĻU KRĀSOTĀJS,"SIA ""BRS GROUP""","Brīvības gatve 295, Rīga",900 - 1300 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,L.I.T. BALTS SIA,"Eksporta iela 5, Rīga",1373 ,31.12.2023
SĒTNIEKS,Rīgas IMANTAS VIDUSSKOLA,"Kurzemes prospekts 158, Rīga",620 ,31.12.2023
NEKUSTAMĀ ĪPAŠUMA AĢENTS,"SIA ""ARKOSS""","Balvi, Balvu nov.",1000 - 2500 ,30.11.2023
MASIERIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),"SIA ""TARIO""","Marijas iela 16, Rīga",620 - 1000 ,30.11.2023
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""BTN GROUP""","Jūrkalnes iela 15/25, Rīga",1373 ,01.12.2023
KRĀSOTĀJS,"SIA ""ARESON""","Krustabaznīcas iela 12B, Rīga",1373 ,11.01.2024
Sistēmu (izņemot skaitļotāju) ANALĪTIĶIS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2000 - 2500 ,31.03.2024
LIELLOPU AUDZĒŠANAS LAUKSAIMNIEKS,"Sabiedrība ar ierobežotu atbildību ""Rudzāts""","Varoņu iela 1A, Rudzāti, Rudzātu pag., Līvānu nov.,“Vilcānu ferma”, Rudzātu pag., Līvānu nov.",1200 - 1400 ,30.11.2023
BETONĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""LASVEJA""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
KRĀSOTĀJS,"Sabiedrība ar ierobežotu atbildību ""LASVEJA""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
APDARES DARBU STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""LASVEJA""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
APDARES DARBU STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""AMATNIEKS""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
KRĀSOTĀJS,"Sabiedrība ar ierobežotu atbildību ""AMATNIEKS""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
BETONĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""AMATNIEKS""","Brīvības laukums 10, Tukums, Tukuma nov.",1373 ,05.12.2023
ASISTENTS (IZGLĪTĪBAS JOMĀ),Ogres novada pašvaldība,"Kalnliepas, Tīnūži, Tīnūžu pag., Ogres nov.",5.11 ,10.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""MavishLand""","Sigulda, Siguldas nov.",4.6 - 4.8 ,11.12.2023
BŪVSTRĀDNIEKS,SIA Amir Akbarov Logistics,"Marijas iela 2, Rīga",1373 - 1380 ,30.12.2023
BŪVSTRĀDNIEKS,"SIA ""LARMAX""","Aristida Briāna iela 13, Rīga",1400 ,05.01.2024
VECĀKAIS PAVĀRS,"""FIRMA MADARA 89"" SIA","Raunas iela 15, Cēsis, Cēsu nov.",No 6.5 ,05.12.2023
APDROŠINĀŠANAS KONSULTANTS,"Apdrošināšanas akciju sabiedrība ""BALTA""","Stacijas iela 30, Ludza, Ludzas nov.",620 - 1100 ,26.11.2023
KARDIOLOGS,"Sabiedrība ar ierobežotu atbildību ""LIEPĀJAS REĢIONĀLĀ SLIMNĪCA""","Slimnīcas iela 25, Liepāja",2165 - 3200 ,11.12.2023
"JŪRAS, TĀLJŪRAS ZVEJNIEKS","Sabiedrība ar ierobežotu atbildību ""VERĢI""","Sarkanmuižas dambis 29, Ventspils",1373 - 1500 ,31.01.2024
VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā),"""Aneesah General Trading"" SIA","Miera iela 95A, Rīga",1380 - 2000 ,09.01.2024
PROJEKTA VADĪTĀJA ASISTENTS,"Sabiedrība ar ierobežotu atbildību ""Smart Energy""","Baznīcas iela 31 - 8, Rīga",1500 - 2000 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Rīgas gatve 65, Ādaži, Ādažu nov.",6.16 - 12.32 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Dzirnieku iela 1, Lidosta ""Rīga"", Mārupes pagasts, Mārupes novads",6 - 12 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Ziemeri, Sunīši, Garkalnes novads",6.16 - 12.32 ,30.11.2023
MŪRNIEKS,"Sabiedrība ar ierobežotu atbildību ""MARIVENT""","Laimdotas iela 57, Rīga",1400 ,30.12.2023
VILCĒJAUTOMOBIĻA VADĪTĀJS,"""Samskip"", SIA","Skanstes iela 50A, Rīga",1373 ,31.03.2024
INTERNETA PORTĀLA REDAKTORS,SIA Damara Technologies,"Lielirbes iela 17A - 10, Rīga",1373 - 4000 ,22.12.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","DUS “Krasta 2” – Krasta iela 78, Rīga (pie atpūtas centra “Lido”)",5.94 - 11.88 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Krūzes iela 53, Rīga",6.16 - 12.32 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Šampētera iela 180, Rīga",6.16 - 12.32 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Ķīšezera iela 31, Rīga",5.94 - 11.88 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Dārzciema iela 62, Rīga",5.06 - 10.12 ,30.11.2023
DEGVIELAS UZPILDES STACIJAS PĀRDEVĒJS,"AS ""VIADA Baltija""","Dārzciema iela 62, Rīga",5.06 - 10.12 ,30.11.2023
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""PREMIER RESTAURANTS LATVIA""","Kārļa Ulmaņa gatve 88A, Rīga",6 ,09.12.2023
APRŪPĒTĀJS,Sociālās integrācijas valsts aģentūra,"Slokas iela 68, Jūrmala",802 - 938 ,30.11.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""K.K.E.""","Druvas iela 8, Ogre, Ogres nov.",743 - 1155 ,30.12.2023
VĀJSTRĀVU SISTĒMU MONTIERIS,"Sabiedrība ar ierobežotu atbildību ""K.K.E.""","Druvas iela 8, Ogre, Ogres nov.",765 - 1320 ,31.12.2023
AUTOMEHĀNIĶIS,"Sabiedrība ar ierobežotu atbildību ""KORES""","Rīgas iela 120, Līvāni, Līvānu nov.",650 - 1000 ,30.11.2023
TIRGVEDĪBAS UN TIRDZNIECĪBAS SPECIĀLISTS,"""FIRMA MADARA 89"" SIA","Baznīcas laukums 2, Smiltene, Smiltenes nov.",No 1300 ,05.12.2023
